food_name,food_category,portion_size,portion_unit,calories,protein,fat,carbohydrates,fiber,vitamin_a,vitamin_c,vitamin_d,vitamin_e,calcium,iron,potassium,sodium
strawberry,fruit,172.4,g,54.5,1.2,0.5,13.6,3.4,1.7,100.1,0.0,0.5,27.2,0.7,260.6,1.7
yogurt,dairy,311.8,g,187.0,31.7,1.3,11.4,0.0,85.6,1.6,0.3,0.2,348.6,0.2,446.9,114.1
almond,nut,411.6,g,2422.0,87.8,209.2,92.0,52.3,0.0,0.0,0.0,107.2,1125.2,15.5,3066.2,4.2
grape,fruit,213.6,g,129.4,1.3,0.4,33.4,1.9,6.3,6.7,0.0,0.4,20.9,0.8,398.6,4.2
grape,fruit,187.7,g,112.9,1.1,0.4,29.1,1.6,5.5,5.8,0.0,0.3,18.2,0.7,347.8,3.6
orange,fruit,149.2,g,71.0,1.4,0.2,18.1,3.6,339.8,80.3,0.0,0.3,60.4,0.2,273.3,0.0
chia_seed,nut,487.9,g,2286.9,80.0,145.9,197.6,161.9,0.0,7.5,0.0,2.4,2969.2,36.3,1915.1,75.3
butter,dairy,225.0,g,1593.8,2.0,180.1,0.2,0.0,1520.5,0.0,3.3,5.2,53.3,0.0,53.3,24.5
yogurt,dairy,472.3,g,285.0,48.3,1.9,17.4,0.0,130.4,2.4,0.5,0.3,531.4,0.3,681.2,173.9
carrot,vegetable,108.4,g,45.3,1.0,0.2,11.0,3.1,922.4,6.5,0.0,0.7,36.5,0.3,353.5,76.2
broccoli,vegetable,288.5,g,99.5,8.2,1.2,20.5,7.6,1822.9,261.0,0.0,2.3,137.5,2.1,924.6,96.6
cheese,dairy,473.0,g,1918.0,119.3,157.4,6.2,0.0,1264.3,0.0,2.9,1.0,3440.0,3.2,467.6,2962.9
cucumber,vegetable,291.1,g,48.5,2.1,0.3,12.1,1.5,318.3,8.5,0.0,0.1,48.5,0.8,445.6,6.1
strawberry,fruit,71.8,g,23.7,0.5,0.2,5.9,1.5,0.7,43.5,0.0,0.2,11.8,0.3,113.2,0.7
beef,protein,397.0,g,970.9,101.0,58.3,0.0,0.0,0.0,0.0,0.0,0.5,69.9,10.1,1235.0,279.6
egg,protein,473.3,g,710.7,59.6,50.4,5.0,0.0,733.6,0.0,9.2,4.8,256.8,8.0,632.8,568.6
butter,dairy,269.4,g,1941.6,2.4,219.3,0.3,0.0,1852.2,0.0,4.1,6.3,65.0,0.1,65.0,29.8
broccoli,vegetable,160.7,g,55.8,4.6,0.7,11.5,4.3,1023.3,146.5,0.0,1.3,77.2,1.2,519.1,54.2
chia_seed,nut,194.0,g,952.6,33.3,60.8,82.3,67.4,0.0,3.1,0.0,1.0,1236.8,15.1,797.8,31.4
beef,protein,37.7,g,98.0,10.2,5.9,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.0,124.6,28.2
chia_seed,nut,392.4,g,1832.2,64.1,116.9,158.3,129.7,0.0,6.0,0.0,1.9,2378.9,29.1,1534.4,60.3
butter,dairy,467.9,g,3210.4,4.0,362.7,0.4,0.0,3062.7,0.0,6.7,10.4,107.5,0.1,107.5,49.3
salmon,protein,148.2,g,321.3,38.6,18.5,0.0,0.0,230.2,6.0,17.0,5.5,13.9,0.5,560.8,91.1
bread,grain,136.1,g,376.3,12.8,4.5,69.6,3.8,0.0,0.0,0.0,0.3,69.6,5.1,163.3,697.3
salmon,protein,89.6,g,195.1,23.4,11.3,0.0,0.0,139.7,3.7,10.3,3.3,8.4,0.3,340.4,55.3
